fac_no_faction|无 门 无 派
fac_commoners|凡 人 百 姓
fac_outlaws|魔 修 散 贼
fac_neutral|中 立
fac_innocents|无 辜 之 人
fac_merchants|坊 市 商 人
fac_player_faction|散 修 / 自 立 宗 门
fac_player_supporters_faction|玩 家 支 持 者
fac_kingdom_1|太清盟
fac_kingdom_2|青岚剑宗
fac_kingdom_3|玄霜宫
fac_kingdom_4|天魔诸宗
fac_kingdom_5|人皇庭
fac_kingdom_6|妖海诸部
fac_black_khergits|{!} 凶 兽
fac_dao_zi_hui|道 子 会
fac_desert_bandits|古 域 遗 族
fac_deserters|邪 修 游 队
fac_forest_bandits|魔 修 流 寇
fac_haihai_league|海 族 散 修 联 盟
fac_khergits|{!} 妖 兽 群
fac_manhunters|散 修 悬 赏 团
fac_mountain_bandits|妖 兽 山 盗
fac_san_xian_gong|散 仙 宫
fac_shou_jie_ren|守 劫 人
