itm_no_item|INVALID ITEM 
itm_no_item_pl|INVALID ITEM 
itm_tutorial_spear|破 阵 长 兵
itm_tutorial_spear_pl|破 阵 长 兵
itm_tutorial_club|镇 山 钝 器
itm_tutorial_club_pl|镇 山 钝 器
itm_tutorial_battle_axe|破 山 战 斧
itm_tutorial_battle_axe_pl|破 山 战 斧
itm_tutorial_arrows|符 羽 箭
itm_tutorial_arrows_pl|符 羽 箭
itm_tutorial_bolts|破 甲 弩 矢
itm_tutorial_bolts_pl|破 甲 弩 矢
itm_tutorial_short_bow|灵 木 弓
itm_tutorial_short_bow_pl|灵 木 弓
itm_tutorial_crossbow|机 括 灵 弩
itm_tutorial_crossbow_pl|机 括 灵 弩
itm_tutorial_throwing_daggers|制 式 法 剑
itm_tutorial_throwing_daggers_pl|制 式 法 剑
itm_tutorial_saddle_horse|宗 门 驮 马
itm_tutorial_saddle_horse_pl|宗 门 驮 马
itm_tutorial_shield|护 身 法 盾
itm_tutorial_shield_pl|护 身 法 盾
itm_tutorial_staff_no_attack|破 阵 长 兵
itm_tutorial_staff_no_attack_pl|破 阵 长 兵
itm_tutorial_staff|破 阵 长 兵
itm_tutorial_staff_pl|破 阵 长 兵
itm_tutorial_sword|制 式 法 剑
itm_tutorial_sword_pl|制 式 法 剑
itm_tutorial_axe|破 山 战 斧
itm_tutorial_axe_pl|破 山 战 斧
itm_tutorial_dagger|制 式 法 剑
itm_tutorial_dagger_pl|制 式 法 剑
itm_horse_meat|凡 马
itm_horse_meat_pl|凡 马
itm_practice_sword|制 式 法 剑
itm_practice_sword_pl|制 式 法 剑
itm_heavy_practice_sword|制 式 法 剑
itm_heavy_practice_sword_pl|制 式 法 剑
itm_practice_dagger|制 式 法 剑
itm_practice_dagger_pl|制 式 法 剑
itm_practice_axe|破 山 战 斧
itm_practice_axe_pl|破 山 战 斧
itm_arena_axe|破 山 战 斧
itm_arena_axe_pl|破 山 战 斧
itm_arena_sword|制 式 法 剑
itm_arena_sword_pl|制 式 法 剑
itm_arena_sword_two_handed|制 式 法 剑
itm_arena_sword_two_handed_pl|制 式 法 剑
itm_arena_lance|破 阵 长 兵
itm_arena_lance_pl|破 阵 长 兵
itm_practice_staff|破 阵 长 兵
itm_practice_staff_pl|破 阵 长 兵
itm_practice_lance|破 阵 长 兵
itm_practice_lance_pl|破 阵 长 兵
itm_practice_shield|护 身 法 盾
itm_practice_shield_pl|护 身 法 盾
itm_practice_bow|灵 木 弓
itm_practice_bow_pl|灵 木 弓
