p_zendar|禅 达
p_town_1|【一级】北寒城
p_town_2|【一级】玄霜宫
p_town_3|【一级】冰溟台
p_town_4|【一级】天魔窟
p_town_5|【一级】云川城
p_town_6|【一级】天州城
p_town_7|【一级】青岚宗
p_town_8|【一级】太清宗
p_town_9|【一级】万符门
p_town_10|【一级】丹霞谷
p_town_11|【一级】御兽宗
p_town_12|【一级】西陲城
p_town_13|【一级】古佛城
p_town_14|【一级】合欢宗
p_town_15|【一级】百炼门
p_town_16|【一级】南荒城
p_town_17|【一级】万妖岭
p_town_18|【一级】火鳞城
p_town_19|【一级】万毒谷
p_town_20|【一级】东海港
p_town_21|【一级】沧海阁
p_town_22|【一级】东溟城
p_castle_1|【二级】北寒关
p_castle_2|【二级】绝寒谷
p_castle_3|【二级】霜岭寨
p_castle_4|【二级】魔云堡
p_castle_5|【二级】玄冰崖
p_castle_6|【二级】雪魄岛
p_castle_7|【二级】幽雪关
p_castle_8|【二级】冰魇堡
p_castle_9|【二级】北冥台
p_castle_10|【二级】云川关
p_castle_11|【二级】青岚阁
p_castle_12|【二级】太元台
p_castle_13|【二级】凌霄台
p_castle_14|【二级】灵田院
p_castle_15|【二级】百炼坊
p_castle_16|【二级】古墟堡
p_castle_17|【二级】碧水庄
p_castle_18|【二级】归墟碑
p_castle_19|【二级】赤霞院
p_castle_20|【二级】御兽苑
p_castle_21|【二级】灵舟寨
p_castle_22|【二级】九曜观
p_castle_23|【二级】西陲堡
p_castle_24|【二级】黄沙关
p_castle_25|【二级】黑沙堡
p_castle_26|【二级】古佛塔
p_castle_27|【二级】流沙堡
p_castle_28|【二级】枯骨堡
p_castle_29|【二级】血河关
p_castle_30|【二级】鸣沙堡
p_castle_31|【二级】南荒寨
p_castle_32|【二级】青藤寨
p_castle_33|【二级】万妖山
p_castle_34|【二级】灵兽寨
p_castle_35|【二级】火鳞堡
p_castle_36|【二级】熔溪寨
p_castle_37|【二级】毒藤寨
p_castle_38|【二级】妖血台
p_castle_39|【二级】南荒关
p_castle_40|【二级】东海寨
p_castle_41|【二级】蓬莱屿
p_castle_42|【二级】海市坊
p_castle_43|【二级】蜃楼礁
p_castle_44|【二级】鲛人湾
p_castle_45|【二级】灵贝寨
p_castle_46|【二级】东溟寨
p_castle_47|【二级】沧海台
p_castle_48|【二级】船坞堡
p_village_1|雪松村
p_village_2|寒泉村
p_village_3|冰河村
p_village_4|霜鹿村
p_village_5|白石村
p_village_6|北风村
p_village_7|雪狐村
p_village_8|寒铁村
p_village_9|凝霜村
p_village_10|冰湖村
p_village_11|雾凇村
p_village_12|落雪村
p_village_13|寒鸦村
p_village_14|玄冰村
p_village_15|雪魄村
p_village_16|霜谷村
p_village_17|冻土村
p_village_18|北冥村
p_village_19|灵溪村
p_village_20|青禾村
p_village_21|云麓村
p_village_22|白鹤村
p_village_23|灵谷村
p_village_24|松风村
p_village_25|竹影村
p_village_26|清河村
p_village_27|望仙村
p_village_28|紫竹村
p_village_29|灵泉村
p_village_30|玉衡村
p_village_31|飞霞村
p_village_32|丹桂村
p_village_33|药王村
p_village_34|赤霞村
p_village_35|太清村
p_village_36|天枢村
p_village_37|归云村
p_village_38|剑坪村
p_village_39|符纸村
p_village_40|墨竹村
p_village_41|观星村
p_village_42|灵舟村
p_village_43|碧落村
p_village_44|云梦村
p_village_45|汐月村
p_village_46|石桥村
p_village_47|香火村
p_village_48|祈年村
p_village_49|鸣鹤村
p_village_50|金桂村
p_village_51|洞天村
p_village_52|茶坞村
p_village_53|沙柳村
p_village_54|黄泉村
p_village_55|驼铃村
p_village_56|月牙村
p_village_57|赤砂村
p_village_58|鸣沙村
p_village_59|古陶村
p_village_60|残碑村
p_village_61|黑栈村
p_village_62|胡杨村
p_village_63|沙海村
p_village_64|枯井村
p_village_65|流沙村
p_village_66|金沙村
p_village_67|落日村
p_village_68|西陲村
p_village_69|白骨村
p_village_70|佛灯村
p_village_71|青藤村
p_village_72|百蛮村
p_village_73|鹿鸣村
p_village_74|赤木村
p_village_75|蛟沼村
p_village_76|火榕村
p_village_77|灵猿村
p_village_78|黑藤村
p_village_79|猎妖村
p_village_80|妖骨村
p_village_81|螭溪村
p_village_82|毒草村
p_village_83|朱果村
p_village_84|赤鳞村
p_village_85|火山村
p_village_86|古藤村
p_village_87|兽栏村
p_village_88|南岭村
p_village_89|蛊虫村
p_village_90|妖雾村
p_village_91|灵鹿村
p_village_92|万荒村
p_village_93|海风村
p_village_94|灵潮村
p_village_95|青螺村
p_village_96|东盐村
p_village_97|白帆村
p_village_98|海贝村
p_village_99|潮音村
p_village_100|礁石村
p_village_101|蓬莱村
p_village_102|云帆村
p_village_103|海雾村
p_village_104|沉舟村
p_village_105|鲛珠村
p_village_106|东溟村
p_village_107|妖岛村
p_village_108|黑潮村
p_village_109|珊瑚村
p_village_110|海田村
p_training_ground_1|北寒试剑坪
p_training_ground_2|中州问道台
p_training_ground_3|东海演法台
p_training_ground_4|南荒斗兽场
p_training_ground_5|西陲试剑坪
p_battlefields|战 场
p_desert_bandit_spawn_point|南荒妖兽出没地
p_dhorak_keep|多 拉 克 要 塞
p_forest_bandit_spawn_point|中州山匪出没地
p_four_ways_inn|四 方 客 栈
p_looter_spawn_point|散修流寇出没地
p_mountain_bandit_spawn_point|魔道余孽出没地
p_salt_mine|盐 矿
p_sea_raider_spawn_point_1|东海海寇出没地
p_sea_raider_spawn_point_2|东溟妖潮出没地
p_steppe_bandit_spawn_point|西域沙盗出没地
p_taiga_bandit_spawn_point|北原雪匪出没地
p_test_scene|测 试 场 景
p_training_ground|训 练 场
