pt_none|无
pt_rescued_prisoners|被 救 的 俘 虏
pt_enemy|敌 人
pt_hero_party|英 雄 部 队
pt_village_defenders|村 庄 卫 队
pt_cattle_herd|牛 群
pt_looters|炼 气 散 寇
pt_manhunters|守 劫 巡 使
pt_steppe_bandits|南 荒 妖 兽 群
pt_taiga_bandits|北 玄 雪 寇
pt_desert_bandits|西 陲 沙 盗
pt_forest_bandits|南 荒 妖 匪
pt_mountain_bandits|北 玄 魔 修
pt_sea_raiders|东 溟 海 寇
pt_deserters|逃 兵
pt_merchant_caravan|万 宝 楼 商 队
pt_troublesome_bandits|难 缠 邪 修
pt_bandits_awaiting_ransom|等 待 赎 金 的 强 盗
pt_kidnapped_girl|被 绑 架 的 女 孩
pt_village_farmers|坊 民
pt_spy_partners|不 显 眼 的 旅 行 者
pt_runaway_serfs|逃 跑 的 农 奴
pt_spy|普 通 的 市 民
pt_sacrificed_messenger|献 祭 信 史
pt_forager_party|征 粮 队
pt_scout_party|侦 察 队
pt_patrol_party|巡 逻 队
pt_messenger_party|信 使
pt_raider_party|突 袭 队
pt_raider_captives|猎 俘 队
pt_kingdom_caravan_party|商 队
pt_prisoner_train_party|运 俘 队
pt_default_prisoners|逃 走 的 俘 虏
pt_routed_warriors|溃 军
pt_center_reinforcements|增 援 部 队
pt_steppe_bandit_lair|响 马 老 巢
pt_taiga_bandit_lair|雪 原 强 盗 老 巢
pt_desert_bandit_lair|沙 漠 强 盗 老 巢
pt_forest_bandit_lair|绿 林 强 盗 营 地
pt_mountain_bandit_lair|山 贼 藏 身 处
pt_sea_raider_lair|海 寇 码 头
pt_looter_lair|绑 匪 藏 身 处
pt_leaded_looters|盗 贼 团
pt_kingdom_hero_party|NPC 修 士 队 伍
pt_yc_ancient_ruins_expedition|上 古 遗 迹 远 征 队
pt_yc_blood_sacrifice_host|魔 门 血 祭 队
pt_yc_herb_gatherer_party|采 药 队
pt_yc_mine_guard_party|护 矿 队
pt_yc_moxiu_raider_party|魔 修 劫 掠 队
pt_yc_wanbao_caravan_party|万 宝 楼 商 队
pt_yc_yaoshou_roaming_party|妖 兽 游 荡 队
pt_yc_zhengmo_war_host|正 魔 大 战 联 军
pt_yc_zongmen_patrol_party|宗 门 巡 山 弟 子
